@relation 'TrainingData_g3-5-weka.filters.unsupervised.attribute.Remove-V-R3,10,12,14,22,25'

@attribute light_bedroom {off,on}
@attribute current_PC_bedroom {off,standby,on}
@attribute current_lamp_livingroom {off,standby,on}
@attribute current_microwave_kitchen {off,standby,on}
@attribute people_bedroom {off,on}
@attribute class {OtherActivity,g3-5}

@data
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
on,on,off,standby,on,g3-5
on,on,off,standby,on,g3-5
on,on,off,standby,on,g3-5
on,on,off,standby,on,g3-5
on,on,off,standby,on,g3-5
on,on,off,standby,on,g3-5
on,on,off,standby,on,g3-5
on,on,off,standby,on,g3-5
on,on,off,standby,on,g3-5
on,on,off,standby,on,g3-5
on,on,off,standby,on,g3-5
off,on,off,standby,on,g3-5
off,on,off,standby,on,g3-5
off,on,off,standby,on,g3-5
off,on,off,standby,on,g3-5
off,on,off,standby,on,g3-5
off,on,off,standby,on,g3-5
off,on,off,standby,on,g3-5
off,on,off,standby,on,g3-5
off,on,off,standby,on,g3-5
off,on,off,standby,on,g3-5
off,on,off,standby,on,g3-5
