@relation 'TrainingData_g2-6-weka.filters.unsupervised.attribute.Remove-V-R3,10,12,14,22,25'

@attribute light_bedroom {off,on}
@attribute current_PC_bedroom {off,standby,on}
@attribute current_lamp_livingroom {off,standby,on}
@attribute current_microwave_kitchen {off,standby,on}
@attribute people_bedroom {off,on}
@attribute class {OtherActivity,g2-6}

@data
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
off,standby,off,standby,off,OtherActivity
on,on,off,standby,on,g2-6
on,on,off,standby,on,g2-6
on,on,off,standby,on,g2-6
on,on,off,standby,on,g2-6
on,on,off,standby,on,g2-6
on,on,off,standby,on,g2-6
on,on,off,standby,on,g2-6
on,on,off,standby,on,g2-6
on,on,off,standby,on,g2-6
on,on,off,standby,on,g2-6
on,on,off,standby,on,g2-6
off,on,off,standby,on,g2-6
off,on,off,standby,on,g2-6
off,on,off,standby,on,g2-6
off,on,off,standby,on,g2-6
off,on,off,standby,on,g2-6
off,on,off,standby,on,g2-6
off,on,off,standby,on,g2-6
off,on,off,standby,on,g2-6
off,on,off,standby,on,g2-6
off,on,off,standby,on,g2-6
off,on,off,standby,on,g2-6
